Setting,C1,C2,C3,C4,C5,Total
Zero-shot,6.898625217230017,4.622375152296345,2.6591513969285194,4.261939671873562,4.602686697035878,20.265822957069506
One-shot,3.6157424902587505,3.433583840098622,3.0571599615788276,5.347680260123313,4.958456711588109,10.171103084038007
Self-generated reference,3.4163658350480555,3.6346600461923644,3.3576834598052203,4.2163103988604975,4.103723174040044,13.808998580519269
