Setting,C1,C2,C3,C4,C5,Total
Zero-shot,0.09467770660408552,0.10485752234289865,0.06347629799844509,0.044598049648737266,0.06900191183760813,0.09728476448856099
One-shot,0.05141667322418903,0.0692366752597536,0.07019794680973508,0.02783062125935691,0.03279172013518859,0.04271063308088167
Self-generated reference,0.06264741909432588,0.06925705849573248,0.08031696676150273,0.04986502755775132,0.05125995702935813,0.08259750390430155
